"Elements Object type
 display name",,,Journal article,,Artefact,,Book,,Chapter,,Composition,,Conference,,Dataset,,Design,,Exhibition,,Figure,,Fileset,,Internet publication,,Media,,Other,,Patent,,Performance,,Presentation,,Poster,,Report,,Scholarly edition,,Software / Code,,Thesis / Dissertation,,Preprint,,,,,,,,,,,,,,,,,,,
"Mapping row 
Elements object type identifiers->
External system object types ",,,journal-article,Articles,artefact,,book,Books,chapter,Book Chapters,composition,,conference,Conferences & Workshops,dataset,,design,,exhibition,,figure,,fileset,,internet-publication,,media,,other,,patent,Patents,performance,,presentation,Colloquia & Research Presentations,poster,,report,,scholarly-edition,,software,,thesis-dissertation,,preprint,,,,,,,,,,,,,,,,,,,
"Underlying field
in Elements",Field type,,"Field usage for
type 'journal-article'",Choose field mappings below,"Field usage for
type 'artefact'",Choose type from above,"Field usage for
type 'book'",Choose field mappings below,"Field usage for
type 'chapter'",Choose field mappings below,"Field usage for
type 'composition'",Choose type from above,"Field usage for
type 'conference'",Choose field mappings below,"Field usage for
type 'dataset'",Choose type from above,"Field usage for
type 'design'",Choose type from above,"Field usage for
type 'exhibition'",Choose type from above,"Field usage for
type 'figure'",Choose type from above,"Field usage for
type 'fileset'",Choose type from above,"Field usage for
type 'internet-publication'",Choose type from above,"Field usage for
type 'media'",Choose type from above,"Field usage for
type 'other'",Choose type from above,"Field usage for
type 'patent'",Choose field mappings below,"Field usage for
type 'performance'",Choose type from above,"Field usage for
type 'presentation'",Choose field mappings below,"Field usage for
type 'poster'",Choose type from above,"Field usage for
type 'report'",Choose type from above,"Field usage for
type 'scholarly-edition'",Choose type from above,"Field usage for
type 'software'",Choose type from above,"Field usage for
type 'thesis-dissertation'",Choose type from above,"Field usage for
type 'preprint'",Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above
"""title""",text,,Title [M],Title,Title [M],,Title [M],Title,Title [M],Title,Title [M],,Title [M],Title,Title [M],,Title [M],,Title [M],,Title [M],,Title [M],,Title [M],,Title [M],,Title [M],,Title [M],Title,Title [M],,Title [M],Title,Title [M],,Title [M],,Title [M],,Title [M],,Title [M],,Title [M],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
"""abstract""",text,,Abstract,,Abstract,,Abstract,,Abstract,,Abstract,,Abstract,,Description,,Abstract,,Abstract,,Description [S],,Description [S],,Abstract,,Description [S],,Abstract,,Abstract,,Abstract,,Description [M] [S],Heading Type ,Abstract,,Abstract,,Abstract,,Abstract,,Abstract,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
"""authors""",person-list,,Authors [M] [S],Authors,Authors [M] [S],,Authors [M] [S],Authors,Authors [M] [S],Authors,Authors [M] [S],,Authors [M] [S],Authors,Authors [M] [S],,Authors [M] [S],,Authors [M] [S],,Authors [M] [S],,Authors [M] [S],,Authors [M] [S],,Authors [M] [S],,Authors [M] [S],,Authors [M] [S],Authors,Authors [M] [S],,Authors [M] [S],Authors,Authors [M] [S],,Authors [M] [S],,Authors [M] [S],,Authors [M] [S],,Authors [M] [S],,Authors [M],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
"""author-url""",url,,Author URL [S],,Author URL [S],,Author URL [S],,Author URL [S],,Author URL [S],,Author URL [S],,Author URL [S],,Author URL [S],,Author URL [S],,Author URL [S],,Author URL [S],,Author URL [S],,Author URL [S],,Author URL [S],,Author URL [S],,Author URL [S],,Author URL [S],URL ,Author URL [S],,Author URL [S],,Author URL [S],,Author URL [S],,Author URL [S],,Author URL,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
editors,person-list,,Editors,,[not used],,Editors [S],,Editors [S],,[not used],,Editors [S],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,Editors,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,Supervisors [S],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
"""series""",text,,[not used],,[not used],,Series,,Series,,[not used],,Conference Type,Heading Type ,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,Series,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
edition,text,,Edition,,[not used],,Edition [S],,Edition [S],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,Edition,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
volume,text,,Volume [S],,[not used],,Volume [S],,Volume [S],,[not used],,Volume [S],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,Volume,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
