"Elements Object type
 display name",,,Course-based degree supervision,,Course developed,,Course taught,,Graduate examination,,Mentoring,,Program developed,,Research-based degree supervision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mapping row 
Elements object type identifiers->
External system object types ",,,course-based-degree-supervision,,course-developed,,course-taught,Course Taught,graduate-examination,,mentoring,,program-developed,,research-based-degree-supervision,Research Supervision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Underlying field
in Elements",Field type,,"Field usage for
type 'course-based-degree-supervision'",Choose type from above,"Field usage for
type 'course-developed'",Choose type from above,"Field usage for
type 'course-taught'",Choose field mappings below,"Field usage for
type 'graduate-examination'",Choose type from above,"Field usage for
type 'mentoring'",Choose type from above,"Field usage for
type 'program-developed'",Choose type from above,"Field usage for
type 'research-based-degree-supervision'",Choose field mappings below,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above,,Choose type from above
"""title""",text,,Output title ,,Course title ,,Course title ,Course Title,[not used],,Topic of mentorship  ,,Program title ,,Thesis title ,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
description,text,,[not used],,[not used],,[not used],,[not used],,[not used],,Unique or innovative characteristics,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
"""start-date""",date,,Start date ,,[not used],,Start date ,Part of Term Start,Date ,,Start date ,,[not used],,Start date ,Start Term,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
"""end-date""",date,,End date,,[not used],,End date,Part of Term End,[not used],,End date,,[not used],,End date,End Term,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
release-date,date,,Date degree received / expected,,Date first taught ,,[not used],,[not used],,[not used],,Date first taught ,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
co-contributors,person-list,,Co-supervisors,,Co-developers,,Co-instructors,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
"""institution""",address-list,,Academic institution,,Organisation ,,Name of institution,,Institution ,,[not used],,Organisation ,,Academic institution,Department Name,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
partners,address-list,,[not used],,Institutions using course,,[not used],,[not used],,[not used],,Partner organisations,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
"""number-of-credits""",number,,[not used],,[not used],,Number of credits,Credit Hours,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
"""number-of-students""",integer,,[not used],,[not used],,Number of students,Enrollment,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
person-identifier,text,,Student identifier,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
person,person,,Student name ,,[not used],,[not used],,Student name ,,Protege name ,,[not used],,Student name ,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
student-level,text,,Present position of former student ,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
section,text,,[not used],,[not used],,Section,,Department / Division,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
"""degree-type""",choice,,Degree type ,,[not used],,[not used],,[not used],,[not used],,Degree type ,,Degree type,Degree Type,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
degree-level,choice,,[not used],,[not used],,[not used],,[not used],,[not used],,Degree level ,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
degree-status,choice,,Degree status,,[not used],,[not used],,[not used],,[not used],,[not used],,Degree status,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
degree-subject,text,,Degree subject,,[not used],,[not used],,[not used],,[not used],,[not used],,Degree subject,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
course-level,choice,,[not used],,[not used],,Course level,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
"""course-code""",text,,[not used],,[not used],,Subject Id  ,Subject Code,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
academic-session,choice,,[not used],,[not used],,Academic session,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
lecture-hours,integer,,[not used],,[not used],,Lecture hours (per week),,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
tutorial-hours,integer,,[not used],,[not used],,Tutorial hours (per week),,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
lab-hours,integer,,[not used],,[not used],,Lab hours (per week),,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
other-contact-hours,integer,,[not used],,[not used],,Other contact hours (per week),,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
consent-to-release,boolean,,Consent obtained for name release?,,[not used],,[not used],,[not used],,[not used],,[not used],,Consent obtained for name release?,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
